"Quadrat","Date","Tag","Species","DBH","local_x","local_y","Code","stake_x","stake_y","global_x","global_y","Scientific Name","Common Name","Family","Type","Shirt","global_y_neg","global_x_neg"
"0103",2021-07-06,"00079","TSUCAN",7.4,1.588,0.512,NA,20,60,21.588,60.512,"Tsuga candanensis","Eastern hemlock","Pinaceae","Conifer","Tsuga candanensis",-60.512,-21.588
"0103",2021-07-06,"00080","TSUCAN",8.1,3.878,2.991,NA,20,60,23.878,62.991,"Tsuga candanensis","Eastern hemlock","Pinaceae","Conifer","Tsuga candanensis",-62.991,-23.878
"0103",2021-07-06,"00081","TSUCAN",16.8,1.615,3.329,NA,20,60,21.615,63.329,"Tsuga candanensis","Eastern hemlock","Pinaceae","Conifer","Tsuga candanensis",-63.329,-21.615
"0103",2021-07-06,"00092","TSUCAN",6.8,1.951,7.047,NA,20,60,21.951,67.047,"Tsuga candanensis","Eastern hemlock","Pinaceae","Conifer","Tsuga candanensis",-67.047,-21.951
"0103",2021-07-06,"00093","TSUCAN",13.3,1.979,8.681,NA,20,60,21.979,68.681,"Tsuga candanensis","Eastern hemlock","Pinaceae","Conifer","Tsuga candanensis",-68.681,-21.979
"0103",2021-07-06,"00094","BETALL",19,8.599,8.258,NA,20,60,28.599,68.258,"Betula alleghaniensis","Yellow Birch/ Silver Birch","Betulaceae","Deciduous","Betula alleghaniensis",-68.258,-28.599
"0103",2021-07-06,"00095","ACESAC",52.4,8.291,3.441,NA,20,60,28.291,63.441,"Acer saccharum","Sugar Maple","Sapindaceae","Deciduous","Acer saccharum",-63.441,-28.291
"0103",2021-07-06,"00096","TSUCAN",10.2,1.615,11.808,NA,20,60,21.615,71.808,"Tsuga candanensis","Eastern hemlock","Pinaceae","Conifer","Tsuga candanensis",-71.808,-21.615
"0103",2021-07-06,"00097","TSUCAN",53.3,1.057,18.089,NA,20,60,21.057,78.089,"Tsuga candanensis","Eastern hemlock","Pinaceae","Conifer","Tsuga candanensis",-78.089,-21.057
"0103",2021-07-06,"00098","TSUCAN",23,6.783,18.455,NA,20,60,26.783,78.455,"Tsuga candanensis","Eastern hemlock","Pinaceae","Conifer","Tsuga candanensis",-78.455,-26.783
"0103",2021-07-06,"00099","TSUCAN",18,7.537,18.484,NA,20,60,27.537,78.484,"Tsuga candanensis","Eastern hemlock","Pinaceae","Conifer","Tsuga candanensis",-78.484,-27.537
"0103",2021-07-06,"00100","TSUCAN",21.5,7.314,18.793,NA,20,60,27.314,78.793,"Tsuga candanensis","Eastern hemlock","Pinaceae","Conifer","Tsuga candanensis",-78.793,-27.314
"0103",2021-07-06,"00200","TSUCAN",5.5,7.877,0.648,NA,20,60,27.877,60.648,"Tsuga candanensis","Eastern hemlock","Pinaceae","Conifer","Tsuga candanensis",-60.648,-27.877
"0103",2021-07-06,"00301","TSUCAN",15.9,7.007,18.793,NA,20,60,27.007,78.793,"Tsuga candanensis","Eastern hemlock","Pinaceae","Conifer","Tsuga candanensis",-78.793,-27.007
"0103",2021-07-06,"00302","TSUCAN",29.4,6.252,14.455,NA,20,60,26.252,74.455,"Tsuga candanensis","Eastern hemlock","Pinaceae","Conifer","Tsuga candanensis",-74.455,-26.252
"0104",2021-07-06,"00303","TSUCAN",38.1,2.882,2.443,NA,20,80,22.882,82.443,"Tsuga candanensis","Eastern hemlock","Pinaceae","Conifer","Tsuga candanensis",-82.443,-22.882
"0104",2021-07-06,"00304","TSUCAN",47.5,1.377,6.88,NA,20,80,21.377,86.88,"Tsuga candanensis","Eastern hemlock","Pinaceae","Conifer","Tsuga candanensis",-86.88,-21.377
"0104",2021-07-06,"00305","TSUCAN",23.5,1.613,7.618,NA,20,80,21.613,87.618,"Tsuga candanensis","Eastern hemlock","Pinaceae","Conifer","Tsuga candanensis",-87.618,-21.613
"0104",2021-07-06,"00306","TSUCAN",24.9,2.495,6.937,NA,20,80,22.495,86.937,"Tsuga candanensis","Eastern hemlock","Pinaceae","Conifer","Tsuga candanensis",-86.937,-22.495
"0104",2021-07-06,"00307","TSUCAN",15.5,9.407,4.55,NA,20,80,29.407,84.55,"Tsuga candanensis","Eastern hemlock","Pinaceae","Conifer","Tsuga candanensis",-84.55,-29.407
"0104",2021-07-06,"00308","BETALL",33,8.113,2.221,NA,20,80,28.113,82.221,"Betula alleghaniensis","Yellow Birch/ Silver Birch","Betulaceae","Deciduous","Betula alleghaniensis",-82.221,-28.113
"0104",2021-07-06,"00309","TSUCAN",23.5,0.26,18.016,NA,20,80,20.26,98.016,"Tsuga candanensis","Eastern hemlock","Pinaceae","Conifer","Tsuga candanensis",-98.016,-20.26
"0104",2021-07-06,"00310","TSUCAN",43,6.76,17.306,NA,20,80,26.76,97.306,"Tsuga candanensis","Eastern hemlock","Pinaceae","Conifer","Tsuga candanensis",-97.306,-26.76
"0104",2021-07-06,"00311","TSUCAN",43.7,5.701,14.976,"M",20,80,25.701,94.976,"Tsuga candanensis","Eastern hemlock","Pinaceae","Conifer","Tsuga candanensis",-94.976,-25.701
"0104",2021-07-06,"00311-2","TSUCAN",34.6,5.701,14.976,NA,20,80,25.701,94.976,"Tsuga candanensis","Eastern hemlock","Pinaceae","Conifer","Tsuga candanensis",-94.976,-25.701
"0104",2021-07-06,"00312","TSUCAN",34.3,6.583,11.113,NA,20,80,26.583,91.113,"Tsuga candanensis","Eastern hemlock","Pinaceae","Conifer","Tsuga candanensis",-91.113,-26.583
"0104",2021-07-06,"00313","TSUCAN",9,13.789,15.573,NA,20,80,33.789,95.573,"Tsuga candanensis","Eastern hemlock","Pinaceae","Conifer","Tsuga candanensis",-95.573,-33.789
"0104",2021-07-06,"00314","TSUCAN",6.4,12.73,16.51,NA,20,80,32.73,96.51,"Tsuga candanensis","Eastern hemlock","Pinaceae","Conifer","Tsuga candanensis",-96.51,-32.73
"0104",2021-07-06,"00315","CARCAR",11,13.73,13.812,NA,20,80,33.73,93.812,"Carpinus caroliniana","Musclewood","Betulaceae","Deciduous","Carpinus caroliniana",-93.812,-33.73
"0104",2021-07-06,"00316","TSUCAN",30.8,12.583,4.721,NA,20,80,32.583,84.721,"Tsuga candanensis","Eastern hemlock","Pinaceae","Conifer","Tsuga candanensis",-84.721,-32.583
"0104",2021-07-06,"00317","TSUCAN",31.3,10.319,4.238,"M",20,80,30.319,84.238,"Tsuga candanensis","Eastern hemlock","Pinaceae","Conifer","Tsuga candanensis",-84.238,-30.319
"0104",2021-07-06,"00317-2","TSUCAN",33.4,10.319,4.238,NA,20,80,30.319,84.238,"Tsuga candanensis","Eastern hemlock","Pinaceae","Conifer","Tsuga candanensis",-84.238,-30.319
"0104",2021-07-06,"00318","TSUCAN",26.2,11.642,9.806,NA,20,80,31.642,89.806,"Tsuga candanensis","Eastern hemlock","Pinaceae","Conifer","Tsuga candanensis",-89.806,-31.642
"0104",2021-07-06,"00319","BETALL",41.4,17.789,9.493,NA,20,80,37.789,89.493,"Betula alleghaniensis","Yellow Birch/ Silver Birch","Betulaceae","Deciduous","Betula alleghaniensis",-89.493,-37.789
"0104",2021-07-06,"00320","BETALL",10.6,17.289,7.505,NA,20,80,37.289,87.505,"Betula alleghaniensis","Yellow Birch/ Silver Birch","Betulaceae","Deciduous","Betula alleghaniensis",-87.505,-37.289
